STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 02:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 03:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 04:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 05:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 06:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 07:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850108 08:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 11:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 12:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 13:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 14:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 15:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 20:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 21:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850117 22:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 10:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 11:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 12:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 13:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 15:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850119 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850125 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850125 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850125 12:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850125 16:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850125 21:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850131 19:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 01:00,0.00,g, 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 13:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 14:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 15:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 21:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 22:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850201 23:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 00:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 01:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 07:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 09:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 17:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 18:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 19:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 20:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 21:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 22:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850202 23:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850203 00:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850203 01:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850203 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850205 22:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850205 23:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 00:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 01:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 02:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 03:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 04:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 05:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 06:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 07:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 08:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 09:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 13:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850206 23:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850207 00:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850207 02:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850207 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850207 04:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850208 22:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850212 19:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850212 20:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850212 21:00,0.12, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850212 22:00,0.11, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850212 23:00,0.10, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 00:00,0.11, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 01:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 02:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 03:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 07:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 08:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850213 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850223 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850223 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850223 13:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850223 14:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850301 01:00,0.00,g, 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850302 10:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 18:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 20:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 21:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 22:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850304 23:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 00:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 01:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 02:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 03:00,0.10, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 04:00,0.14, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 05:00,0.12, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 06:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 07:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850305 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850308 00:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850308 01:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850308 02:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850308 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850308 08:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 01:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 02:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 03:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 04:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 05:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 06:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 07:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 08:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 09:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 10:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 11:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 12:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 13:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 14:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 15:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 16:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850312 18:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850313 03:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850314 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 07:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 08:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 09:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 12:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 13:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 14:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850318 15:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850330 09:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850330 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850331 20:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850331 21:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850331 22:00,0.10, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850331 23:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 00:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 01:00,0.00,g, 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 03:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 04:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 05:00,0.13, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850401 06:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850403 20:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850403 21:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850405 03:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850405 04:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850405 05:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 02:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 03:00,0.10, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 04:00,0.22, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 05:00,0.17, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 06:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 07:00,0.15, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850408 08:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850414 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850418 21:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850418 22:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850422 04:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850422 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850422 12:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850422 13:00,0.24, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850427 09:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850428 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850428 18:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850428 20:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850501 01:00,0.00,g, 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 02:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 03:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 04:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 05:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 06:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 07:00,0.11, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 08:00,0.16, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 09:00,0.15, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 10:00,0.13, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 11:00,0.22, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 12:00,0.19, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 13:00,0.12, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 14:00,0.10, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 15:00,0.09, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 16:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 17:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850503 18:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 07:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 08:00,0.05, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 09:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 10:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 12:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 13:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 17:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 19:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850506 20:00,0.04, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850508 05:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850512 10:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850513 00:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850513 05:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850517 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850518 05:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850518 06:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850518 13:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850518 14:00,0.13, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850518 16:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850519 09:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850519 10:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850521 18:00,0.08, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850521 19:00,0.22, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850521 20:00,0.07, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850527 18:00,0.03, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850527 19:00,0.12, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850527 20:00,0.06, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850527 21:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 08:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 09:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 10:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 11:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 12:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 13:00,0.02, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 14:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 15:00,0.01, , 
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,19850528 16:00,0.17, , 
